hex_id,F1,F2,F3,F4,F5,class_km
881f2a6269fffff,-0.5261642099887526,2.0105921806842044,1.0832819152993172,3.5726400031549717,-0.41729393292014355,5
881f0c9a65fffff,-0.2418309183432804,-0.15225804477797392,0.336020982487196,-0.693002530399879,0.688093674229247,3
881f2a750dfffff,-0.36061102872008927,-0.0023188977824425026,-1.0787322461895574,-0.277112039555052,-0.028778005369545438,0
881f2a6e5bfffff,0.3563617523468705,-0.2457770339177694,-0.9124295414122927,0.03990377087530179,-1.1838700296726858,0
881f2a6509fffff,-0.15253531676901624,-0.16211300034116458,-0.2751558086920975,-0.1999612629979388,-0.555473141203101,0
881f2a6659fffff,-0.39304700149397653,-0.05964910293888233,-0.4584025742539711,-0.4491488767379198,0.40781855220103763,0
881f2a74ebfffff,-0.30986184077550405,-0.13547942950075537,0.03337163380087769,-0.2932419631034712,-0.3235506644271008,0
881f2a6247fffff,1.0305431224072918,-0.27275574912724215,0.6338762591259504,-0.25251529545359974,-0.586119127730304,3
881f0c9a43fffff,7.125790943487806,-0.7013079176196779,0.01656047314757685,-0.08324585687683193,-1.076685254175124,1
881f2a6e39fffff,-0.3392603314425091,-0.03279402453557751,-1.0653691017589475,0.8690945465057808,-0.10363507622374468,0
881f2a64e7fffff,-0.3632802741250041,-0.15123190913997572,1.6898697020613604,0.003631853133706755,-0.31669837314833876,3
881f2a6637fffff,1.0152772562315802,4.7064870183738705,-0.6232352045065914,-0.4225735402747288,-0.5458604076370013,6
881f2a70d9fffff,-0.38093494244405274,-0.09405963230941565,-0.9146538167233915,-0.25271301564180854,-0.2630351670979123,0
881f2a60d5fffff,-0.4367656148680631,0.30703183862859834,1.1814401284800329,1.2885281883546078,2.2893435867110035,5
881f2a6225fffff,-0.007370631412642777,-0.29100425650631284,0.929963607953303,-0.07686678525090114,-0.3317248651763374,3
881f0c9a21fffff,-1.0526051208801614,-0.02046805482929587,0.08143683931468496,-0.6747693860773769,1.667571679521846,0
