hex_id,east,north,radius_k10,radius_k50,radius_k100,radius_k250,radius_k1000,mean_gc_roads_simplified_gd_v_vej_road_merged__len_0231cb_k10,std_gc_roads_simplified_gd_v_vej_road_merged__len_0231cb_k10,mean_gc_fastboendebefolkningmapinfo_cnt_00ea14_k10,std_gc_fastboendebefolkningmapinfo_cnt_00ea14_k10,mean_gc_ecology_connectivity_pdk_oekologiskfor_shr_032534_k10,std_gc_ecology_connectivity_pdk_oekologiskfor_shr_032534_k10,mean_gc_cultural_and_historical_conservation_v_shr_034ee6_k10,std_gc_cultural_and_historical_conservation_v_shr_034ee6_k10,total_k10,mean_gc_roads_simplified_gd_v_vej_road_merged__len_0231cb_k50,std_gc_roads_simplified_gd_v_vej_road_merged__len_0231cb_k50,mean_gc_fastboendebefolkningmapinfo_cnt_00ea14_k50,std_gc_fastboendebefolkningmapinfo_cnt_00ea14_k50,mean_gc_ecology_connectivity_pdk_oekologiskfor_shr_032534_k50,std_gc_ecology_connectivity_pdk_oekologiskfor_shr_032534_k50,mean_gc_cultural_and_historical_conservation_v_shr_034ee6_k50,std_gc_cultural_and_historical_conservation_v_shr_034ee6_k50,total_k50,mean_gc_roads_simplified_gd_v_vej_road_merged__len_0231cb_k100,std_gc_roads_simplified_gd_v_vej_road_merged__len_0231cb_k100,mean_gc_fastboendebefolkningmapinfo_cnt_00ea14_k100,std_gc_fastboendebefolkningmapinfo_cnt_00ea14_k100,mean_gc_ecology_connectivity_pdk_oekologiskfor_shr_032534_k100,std_gc_ecology_connectivity_pdk_oekologiskfor_shr_032534_k100,mean_gc_cultural_and_historical_conservation_v_shr_034ee6_k100,std_gc_cultural_and_historical_conservation_v_shr_034ee6_k100,total_k100,mean_gc_roads_simplified_gd_v_vej_road_merged__len_0231cb_k250,std_gc_roads_simplified_gd_v_vej_road_merged__len_0231cb_k250,mean_gc_fastboendebefolkningmapinfo_cnt_00ea14_k250,std_gc_fastboendebefolkningmapinfo_cnt_00ea14_k250,mean_gc_ecology_connectivity_pdk_oekologiskfor_shr_032534_k250,std_gc_ecology_connectivity_pdk_oekologiskfor_shr_032534_k250,mean_gc_cultural_and_historical_conservation_v_shr_034ee6_k250,std_gc_cultural_and_historical_conservation_v_shr_034ee6_k250,total_k250,mean_gc_roads_simplified_gd_v_vej_road_merged__len_0231cb_k1000,std_gc_roads_simplified_gd_v_vej_road_merged__len_0231cb_k1000,mean_gc_fastboendebefolkningmapinfo_cnt_00ea14_k1000,std_gc_fastboendebefolkningmapinfo_cnt_00ea14_k1000,mean_gc_ecology_connectivity_pdk_oekologiskfor_shr_032534_k1000,std_gc_ecology_connectivity_pdk_oekologiskfor_shr_032534_k1000,mean_gc_cultural_and_historical_conservation_v_shr_034ee6_k1000,std_gc_cultural_and_historical_conservation_v_shr_034ee6_k1000,total_k1000
881f2a6269fffff,862750.8144480579,6126865.710688224,874.9530534630759,1425.099174449779,1425.099174449779,1425.099174449779,1425.099174449779,29.831690702007776,1.4201749119456322,0.0,0.0,0.7333161157677747,0.03160523267222024,4.8502234748851155e-06,2.3090094910034747e-07,30.70355329018312,1203.5823161708345,194.92540185088163,52.57420770020543,8.617317678323312,0.8115664528934295,0.01610568006735225,4.845203141413222e-06,3.5144179320739456e-08,1326.013556403499,1203.5823161708345,194.92540185088163,52.57420770020543,8.617317678323312,0.8115664528934295,0.01610568006735225,4.845203141413222e-06,3.5144179320739456e-08,1326.013556403499,1203.5823161708345,194.92540185088163,52.57420770020543,8.617317678323312,0.8115664528934295,0.01610568006735225,4.845203141413222e-06,3.5144179320739456e-08,1326.013556403499,1203.5823161708345,194.92540185088163,52.57420770020543,8.617317678323312,0.8115664528934295,0.01610568006735225,4.845203141413222e-06,3.5144179320739456e-08,1326.013556403499
881f0c9a65fffff,888529.1521961101,6116847.325032512,0.0,0.0,0.0,0.0,799.8925020636215,759.5134448312104,0.0,5.0,0.0,0.5492701799202392,0.0,4.81072644192366e-06,0.0,765.0627198218571,759.5134448312104,0.0,5.0,0.0,0.5492701799202392,0.0,4.81072644192366e-06,0.0,765.0627198218571,759.5134448312104,0.0,5.0,0.0,0.5492701799202392,0.0,4.81072644192366e-06,0.0,765.0627198218571,759.5134448312104,0.0,5.0,0.0,0.5492701799202392,0.0,4.81072644192366e-06,0.0,765.0627198218571,1244.8209686354076,346.54418222231135,6.986889385301534,1.4187807182509544,0.28171785761373647,0.1910514389074167,1.624599340907814e-06,2.2751219721937695e-06,2265.486242238902
881f2a750dfffff,868735.6499675395,6131072.151566427,0.0,0.0,0.0,0.0,874.9854476984744,916.5935244554548,0.0,4.0,0.0,0.0,0.0,0.0,0.0,920.5935244554548,916.5935244554548,0.0,4.0,0.0,0.0,0.0,0.0,0.0,920.5935244554548,916.5935244554548,0.0,4.0,0.0,0.0,0.0,0.0,0.0,920.5935244554548,916.5935244554548,0.0,4.0,0.0,0.0,0.0,0.0,0.0,920.5935244554548,865.1769322460843,75.30093034526983,6.830248469101089,2.9938094065637233,0.1711429587117786,0.18081066644396385,1.580180981521342e-05,0.0005901749468541717,1753.7963983288978
881f2a6e5bfffff,876627.9933381957,6117766.3346322635,0.0,0.0,0.0,0.0,0.0,2258.636144318544,0.0,41.0,0.0,0.0,0.0,0.0,0.0,2299.636144318544,2258.636144318544,0.0,41.0,0.0,0.0,0.0,0.0,0.0,2299.636144318544,2258.636144318544,0.0,41.0,0.0,0.0,0.0,0.0,0.0,2299.636144318544,2258.636144318544,0.0,41.0,0.0,0.0,0.0,0.0,0.0,2299.636144318544,2258.636144318544,0.0,41.0,0.0,0.0,0.0,0.0,0.0,2299.636144318544
881f2a6509fffff,879058.897881568,6120310.074866577,0.0,0.0,0.0,0.0,0.0,1335.625143429564,0.0,12.0,0.0,0.27153803335652205,0.0,0.0,0.0,1347.8966814629207,1335.625143429564,0.0,12.0,0.0,0.27153803335652205,0.0,0.0,0.0,1347.8966814629207,1335.625143429564,0.0,12.0,0.0,0.27153803335652205,0.0,0.0,0.0,1347.8966814629207,1335.625143429564,0.0,12.0,0.0,0.27153803335652205,0.0,0.0,0.0,1347.8966814629207,1335.625143429564,0.0,12.0,0.0,0.27153803335652205,0.0,0.0,0.0,1347.8966814629207
881f2a6659fffff,882439.3051029742,6132066.5962969065,0.0,0.0,0.0,0.0,797.8332054648555,610.301046883149,0.0,0.0,0.0,0.23813779045505176,0.0,4.813319913667434e-06,0.0,610.539189486924,610.301046883149,0.0,0.0,0.0,0.23813779045505176,0.0,4.813319913667434e-06,0.0,610.539189486924,610.301046883149,0.0,0.0,0.0,0.23813779045505176,0.0,4.813319913667434e-06,0.0,610.539189486924,610.301046883149,0.0,0.0,0.0,0.23813779045505176,0.0,4.813319913667434e-06,0.0,610.539189486924,1106.9396115045474,335.15604448821557,4.80960429538156,3.2457567052257885,0.40710322822402734,0.11402615868350877,1.5061536091216494e-06,2.2318379120261266e-06,1951.1425800357597
881f2a74ebfffff,878187.5064422628,6134803.005197366,797.2815796956764,797.2815796956764,797.2815796956764,797.2815796956764,797.2815796956764,1009.2749199983048,0.0,6.0,0.0,0.3971068562898706,0.0,4.8598146185050645e-06,0.0,1015.6720317144092,1009.2749199983048,0.0,6.0,0.0,0.3971068562898706,0.0,4.8598146185050645e-06,0.0,1015.6720317144092,1009.2749199983048,0.0,6.0,0.0,0.3971068562898706,0.0,4.8598146185050645e-06,0.0,1015.6720317144092,1009.2749199983048,0.0,6.0,0.0,0.3971068562898706,0.0,4.8598146185050645e-06,0.0,1015.6720317144092,1009.2749199983048,0.0,6.0,0.0,0.3971068562898706,0.0,4.8598146185050645e-06,0.0,1015.6720317144092
881f2a6247fffff,864225.0487134722,6127381.6500179935,0.0,0.0,0.0,0.0,0.0,2145.742859553234,0.0,204.0,0.0,0.5445084468210739,0.0,9.666942140416142e-06,0.0,2350.2873776669976,2145.742859553234,0.0,204.0,0.0,0.5445084468210739,0.0,9.666942140416142e-06,0.0,2350.2873776669976,2145.742859553234,0.0,204.0,0.0,0.5445084468210739,0.0,9.666942140416142e-06,0.0,2350.2873776669976,2145.742859553234,0.0,204.0,0.0,0.5445084468210739,0.0,9.666942140416142e-06,0.0,2350.2873776669976,2145.742859553234,0.0,204.0,0.0,0.5445084468210739,0.0,9.666942140416142e-06,0.0,2350.2873776669976
881f0c9a43fffff,890959.8567186132,6119392.4909984,0.0,0.0,0.0,0.0,0.0,7199.559679574781,0.0,1195.0,0.0,0.0,0.0,0.0005373113304919458,0.0,8394.560216886111,7199.559679574781,0.0,1195.0,0.0,0.0,0.0,0.0005373113304919458,0.0,8394.560216886111,7199.559679574781,0.0,1195.0,0.0,0.0,0.0,0.0005373113304919458,0.0,8394.560216886111,7199.559679574781,0.0,1195.0,0.0,0.0,0.0,0.0005373113304919458,0.0,8394.560216886111,7199.559679574781,0.0,1195.0,0.0,0.0,0.0,0.0005373113304919458,0.0,8394.560216886111
881f2a6e39fffff,876193.7031752465,6114226.704081814,799.5800087725918,799.5800087725918,799.5800087725918,799.5800087725918,799.5800087725918,1135.02815613596,49.97053656885204,15.97291668474164,0.6151690073887179,0.0004551351215732992,0.010337915365793022,0.0,0.0,1155.4634196044558,1135.02815613596,49.97053656885204,15.97291668474164,0.6151690073887179,0.0004551351215732992,0.010337915365793022,0.0,0.0,1155.4634196044558,1135.02815613596,49.97053656885204,15.97291668474164,0.6151690073887179,0.0004551351215732992,0.010337915365793022,0.0,0.0,1155.4634196044558,1135.02815613596,49.97053656885204,15.97291668474164,0.6151690073887179,0.0004551351215732992,0.010337915365793022,0.0,0.0,1155.4634196044558,1135.02815613596,49.97053656885204,15.97291668474164,0.6151690073887179,0.0004551351215732992,0.010337915365793022,0.0,0.0,1155.4634196044558
881f2a64e7fffff,887568.8222731694,6122017.666003699,799.2146613476098,799.2146613476098,799.2146613476098,799.2146613476098,799.3199376172768,605.1709493773236,24.559739499091712,0.0,0.0,1.000000000000048,3.860031799665532e-15,0.0,0.0,608.167660810488,605.1709493773236,24.559739499091712,0.0,0.0,1.000000000000048,3.860031799665532e-15,0.0,0.0,608.167660810488,605.1709493773236,24.559739499091712,0.0,0.0,1.000000000000048,3.860031799665532e-15,0.0,0.0,608.167660810488,605.1709493773236,24.559739499091712,0.0,0.0,1.000000000000048,3.860031799665532e-15,0.0,0.0,608.167660810488,530.605710921804,89.82794217832279,4.187226606535821,4.933497685301649,1.000000000000038,1.2267692742663675e-14,0.0,0.0,1046.2607427537175
881f2a6637fffff,883397.0520049599,6126905.4971784875,0.0,0.0,0.0,0.0,0.0,2100.3336717629836,0.0,236.00000000000003,2.842170943040401e-14,0.0,0.0,0.22438495745203937,0.0,2336.5580567204356,2100.3336717629836,0.0,236.00000000000003,2.842170943040401e-14,0.0,0.0,0.22438495745203937,0.0,2336.5580567204356,2100.3336717629836,0.0,236.00000000000003,2.842170943040401e-14,0.0,0.0,0.22438495745203937,0.0,2336.5580567204356,2100.3336717629836,0.0,236.00000000000003,2.842170943040401e-14,0.0,0.0,0.22438495745203937,0.0,2336.5580567204356,2100.3336717629836,0.0,236.00000000000003,2.842170943040401e-14,0.0,0.0,0.22438495745203937,0.0,2336.5580567204356
881f2a70d9fffff,864230.9127871769,6134560.938619563,0.0,0.0,0.0,0.0,0.0,1024.8699072207276,0.0,6.0,0.0,0.054123946134481536,0.0,0.0,0.0,1030.924031166862,1024.8699072207276,0.0,6.0,0.0,0.054123946134481536,0.0,0.0,0.0,1030.924031166862,1024.8699072207276,0.0,6.0,0.0,0.054123946134481536,0.0,0.0,0.0,1030.924031166862,1024.8699072207276,0.0,6.0,0.0,0.054123946134481536,0.0,0.0,0.0,1030.924031166862,1024.8699072207276,0.0,6.0,0.0,0.054123946134481536,0.0,0.0,0.0,1030.924031166862
881f2a60d5fffff,873590.0869586412,6121781.724325184,0.0,798.5281073431706,798.5281073431706,798.5281073431706,798.6333110525851,0.0,0.0,12.0,0.0,0.334161890925223,0.0,0.0,0.0,12.334161890925223,805.2993340881183,98.8598367383537,0.17815998830096857,1.4512680242395686,0.990251677624989,0.08054263359386174,0.0,0.0,830.7698271795297,805.2993340881183,98.8598367383537,0.17815998830096857,1.4512680242395686,0.990251677624989,0.08054263359386174,0.0,0.0,830.7698271795297,805.2993340881183,98.8598367383537,0.17815998830096857,1.4512680242395686,0.990251677624989,0.08054263359386174,0.0,0.0,830.7698271795297,1080.9253932569482,230.64203557255914,11.58834724315319,9.241088445968543,0.3911508266594566,0.4854867422826147,2.9263994942136722e-06,2.358548217067689e-06,2109.7341290409227
881f2a6225fffff,863788.409431412,6123848.676116079,0.0,0.0,0.0,0.0,797.8805039429768,657.6426285284292,0.0,2.0,0.0,0.7402522397271369,0.0,0.0,0.0,660.3828807681564,657.6426285284292,0.0,2.0,0.0,0.7402522397271369,0.0,0.0,0.0,660.3828807681564,657.6426285284292,0.0,2.0,0.0,0.7402522397271369,0.0,0.0,0.0,660.3828807681564,657.6426285284292,0.0,2.0,0.0,0.7402522397271369,0.0,0.0,0.0,660.3828807681564,2379.069143924586,774.8031333283246,445.24602683557924,199.45722539837993,0.3294914051536648,0.1847835589777861,2.4154708919905017e-05,1.0869403709520282e-05,3923.6822032502014
881f0c9a21fffff,890529.1166419461,6115851.788462548,0.0,0.0,0.0,800.1158257078542,800.1158257078542,170.68366287081537,0.0,4.0,0.0,0.28184329208530673,0.0,0.0,0.0,174.96550616290068,170.68366287081537,0.0,4.0,0.0,0.28184329208530673,0.0,0.0,0.0,174.96550616290068,170.68366287081537,0.0,4.0,0.0,0.28184329208530673,0.0,0.0,0.0,174.96550616290068,1620.3513305980084,444.34889725186,96.32570951771606,28.299470372069432,0.6744095213156089,0.12032852421292474,3.527279551800912e-05,1.0811738538661556e-05,2037.2289997141154,1620.3513305980084,444.34889725186,96.32570951771606,28.299470372069432,0.6744095213156089,0.12032852421292474,3.527279551800912e-05,1.0811738538661556e-05,2037.2289997141154
881f2a7769fffff,865185.4823406518,6136582.764047911,0.0,0.0,0.0,0.0,0.0,1904.0554201204018,0.0,4.0,0.0,0.3143354551891895,0.0,9.697520142116456e-06,0.0,1908.3697652731112,1904.0554201204018,0.0,4.0,0.0,0.3143354551891895,0.0,9.697520142116456e-06,0.0,1908.3697652731112,1904.0554201204018,0.0,4.0,0.0,0.3143354551891895,0.0,9.697520142116456e-06,0.0,1908.3697652731112,1904.0554201204018,0.0,4.0,0.0,0.3143354551891895,0.0,9.697520142116456e-06,0.0,1908.3697652731112,1904.0554201204018,0.0,4.0,0.0,0.3143354551891895,0.0,9.697520142116456e-06,0.0,1908.3697652731112
881f2a6e17fffff,877670.2030981928,6114743.200738238,0.0,0.0,0.0,0.0,0.0,1332.0096654193994,0.0,7.0,0.0,0.2622725111260082,0.0,0.0,0.0,1339.2719379305254,1332.0096654193994,0.0,7.0,0.0,0.2622725111260082,0.0,0.0,0.0,1339.2719379305254,1332.0096654193994,0.0,7.0,0.0,0.2622725111260082,0.0,0.0,0.0,1339.2719379305254,1332.0096654193994,0.0,7.0,0.0,0.2622725111260082,0.0,0.0,0.0,1339.2719379305254,1332.0096654193994,0.0,7.0,0.0,0.2622725111260082,0.0,0.0,0.0,1339.2719379305254
881f2a64c5fffff,887653.7637293782,6124164.00180315,0.0,0.0,0.0,0.0,0.0,1737.3442948792087,2.2737367544323206e-13,16.0,0.0,0.019124031228763577,0.0,0.0,0.0,1753.3634189104373,1737.3442948792087,2.2737367544323206e-13,16.0,0.0,0.019124031228763577,0.0,0.0,0.0,1753.3634189104373,1737.3442948792087,2.2737367544323206e-13,16.0,0.0,0.019124031228763577,0.0,0.0,0.0,1753.3634189104373,1737.3442948792087,2.2737367544323206e-13,16.0,0.0,0.019124031228763577,0.0,0.0,0.0,1753.3634189104373,1737.3442948792087,2.2737367544323206e-13,16.0,0.0,0.019124031228763577,0.0,0.0,0.0,1753.3634189104373
881f2a6615fffff,883482.5203092791,6129049.919274811,0.0,0.0,0.0,0.0,798.2544038349532,434.91972974841036,0.0,21.0,0.0,0.13230200109389278,0.0,4.853089952184839e-06,0.0,456.05203660259417,434.91972974841036,0.0,21.0,0.0,0.13230200109389278,0.0,4.853089952184839e-06,0.0,456.05203660259417,434.91972974841036,0.0,21.0,0.0,0.13230200109389278,0.0,4.853089952184839e-06,0.0,456.05203660259417,434.91972974841036,0.0,21.0,0.0,0.13230200109389278,0.0,4.853089952184839e-06,0.0,456.05203660259417,949.7027762740715,327.58809202832106,20.226100798937715,0.9810513209741567,0.21259923508494083,0.050316558952559806,8.30321211536522e-06,2.2241777286931117e-06,1636.9441571620632
881f2a70b7fffff,865180.2729281298,6129405.427874521,0.0,0.0,0.0,0.0,0.0,1319.2455297928277,0.0,16.0,0.0,0.12098595427597963,1.3877787807814457e-17,0.0,0.0,1335.3665157471037,1319.2455297928277,0.0,16.0,0.0,0.12098595427597963,1.3877787807814457e-17,0.0,0.0,1335.3665157471037,1319.2455297928277,0.0,16.0,0.0,0.12098595427597963,1.3877787807814457e-17,0.0,0.0,1335.3665157471037,1319.2455297928277,0.0,16.0,0.0,0.12098595427597963,1.3877787807814457e-17,0.0,0.0,1335.3665157471037,1319.2455297928277,0.0,16.0,0.0,0.12098595427597963,1.3877787807814457e-17,0.0,0.0,1335.3665157471037
881f2a6765fffff,874544.970539762,6123807.742671143,0.0,0.0,0.0,0.0,875.8904268499799,730.7552982229803,0.0,9.0,0.0,0.9639631375192654,1.1102230246251565e-16,4.852433469050154e-06,0.0,740.719266212933,730.7552982229803,0.0,9.0,0.0,0.9639631375192654,1.1102230246251565e-16,4.852433469050154e-06,0.0,740.719266212933,730.7552982229803,0.0,9.0,0.0,0.9639631375192654,1.1102230246251565e-16,4.852433469050154e-06,0.0,740.719266212933,730.7552982229803,0.0,9.0,0.0,0.9639631375192654,1.1102230246251565e-16,4.852433469050154e-06,0.0,740.719266212933,1252.4420766430521,371.86684273144743,18.391051684212485,6.608056883496758,0.7993685586350378,0.11472461314436018,1.574711716268541e-06,2.271886187020262e-06,2282.5072814337022
881f2a60b3fffff,875499.3161516234,6118641.402812581,799.007830963176,799.007830963176,799.007830963176,799.007830963176,799.007830963176,1299.2670817904316,67.24542678572254,9.98129899800916,0.3613271183573217,0.04958115894045311,0.02417242051624938,4.8038446767257695e-06,2.486298544973454e-07,1316.312422999427,1299.2670817904316,67.24542678572254,9.98129899800916,0.3613271183573217,0.04958115894045311,0.02417242051624938,4.8038446767257695e-06,2.486298544973454e-07,1316.312422999427,1299.2670817904316,67.24542678572254,9.98129899800916,0.3613271183573217,0.04958115894045311,0.02417242051624938,4.8038446767257695e-06,2.486298544973454e-07,1316.312422999427,1299.2670817904316,67.24542678572254,9.98129899800916,0.3613271183573217,0.04958115894045311,0.02417242051624938,4.8038446767257695e-06,2.486298544973454e-07,1316.312422999427,1299.2670817904316,67.24542678572254,9.98129899800916,0.3613271183573217,0.04958115894045311,0.02417242051624938,4.8038446767257695e-06,2.486298544973454e-07,1316.312422999427
881f2a6203fffff,866218.4622853014,6126389.38209069,0.0,0.0,0.0,0.0,0.0,1394.7019036168501,0.0,18.0,0.0,0.17430641462376245,0.0,0.0,0.0,1412.8762100314739,1394.7019036168501,0.0,18.0,0.0,0.17430641462376245,0.0,0.0,0.0,1412.8762100314739,1394.7019036168501,0.0,18.0,0.0,0.17430641462376245,0.0,0.0,0.0,1412.8762100314739,1394.7019036168501,0.0,18.0,0.0,0.17430641462376245,0.0,0.0,0.0,1412.8762100314739,1394.7019036168501,0.0,18.0,0.0,0.17430641462376245,0.0,0.0,0.0,1412.8762100314739
